#runnum	fit_mean	fit_error
25102	1.004502	0.040240
25139	1.012325	0.034629
25140	1.011981	0.034529
25143	1.004095	0.033830
25144	1.004769	0.033604
25150	1.004636	0.033537
25153	0.998297	0.033337
25156	1.000889	0.033464
25183	1.006267	0.039554
25188	0.999525	0.038791
25191	1.002165	0.038984
25192	1.009817	0.040265
25194	1.009205	0.039970
25195	1.007076	0.039704
25198	1.007434	0.039967
25200	1.008963	0.040240
25201	1.008909	0.039916
25203	1.005179	0.039493
25206	1.010101	0.047940
25208	1.009302	0.047834
25213	1.002996	0.046408
25216	1.009858	0.047264
25217	1.009864	0.047975
25227	0.979017	0.062302
25239	0.977615	0.047361
25244	0.977369	0.046085
25255	0.956499	0.097772
25256	0.954348	0.091849
25261	0.995524	0.043269
25264	0.983363	0.062054
25268	0.995736	0.039972
25271	0.993254	0.040162
25272	0.997693	0.053090
25273	0.988203	0.052910
25281	1.000024	0.055359
25285	0.997321	0.042154
25288	0.992749	0.065607
25292	0.996893	0.044664
25295	0.999938	0.056525
25296	0.998043	0.054543
25300	1.000629	0.052113
25315	0.994383	0.058362
25331	1.000965	0.056191
25358	0.992486	0.059315
25363	0.995011	0.061960
25364	0.993885	0.062431
25371	0.999637	0.050892
25372	1.002236	0.054878
25374	0.999667	0.045892
25379	0.982974	0.075056
25437	1.001818	0.038650
25443	1.007699	0.040000
25445	1.005890	0.040035
25468	1.001369	0.055626
25475	0.986069	0.042784
25476	0.979867	0.047595
25477	0.971552	0.037949
25478	0.973220	0.042579
25479	0.964763	0.035340
25480	0.975279	0.038611
25481	0.972475	0.043566
25482	0.973376	0.042723
25483	0.967101	0.040392
25485	1.007082	0.040257
25486	1.006494	0.040278
25487	1.006567	0.040394
25488	1.006662	0.040332
25491	1.004852	0.040092
25493	1.004169	0.039743
25494	1.003678	0.039885
25495	1.004258	0.039882
25502	1.374295	0.156029
25508	1.466749	0.177325
25517	1.198613	0.100640
25521	1.093582	0.058841
25522	1.094783	0.060334
25523	1.089135	0.056915
25524	1.089472	0.056830
25525	1.115854	0.058581
25526	1.115134	0.058011
25527	1.122918	0.061989
25528	1.126417	0.063326
25529	1.149628	0.069659
25530	1.166231	0.074934
25550	1.139299	0.156120
25551	1.108220	0.130083
25552	1.147238	0.170845
25554	1.118752	0.132428
25555	1.057786	0.100112
25556	1.163620	0.180209
25557	1.101943	0.130668
25558	1.149254	0.169347
25560	1.117002	0.159494
25562	0.957076	1373.838966
25564	0.990185	0.066713
25565	0.981759	913.433869
25573	1.012353	0.056783
25574	1.014763	0.053525
25575	1.014186	0.052335
25576	1.013138	0.051951
25577	1.012456	0.051869
25578	1.006466	0.056224
25579	1.001937	0.054818
25580	1.005503	0.072996
25581	0.999109	0.072241
25582	0.994536	0.071225
25583	0.991850	0.070297
25584	0.991300	0.072231
25585	0.991115	0.074292
25586	0.989092	0.076493
25587	0.986179	0.077337
25588	0.982832	0.077662
25589	0.979865	0.078269
25590	0.995204	0.051880
25591	0.995022	0.052076
25592	0.997215	0.051163
25593	0.993074	0.051060
25594	0.992788	0.051192
25595	0.990112	0.051081
25596	0.989629	0.051811
25597	0.989195	0.052942
25598	0.987974	0.054804
25599	0.987535	0.056179
25600	0.986548	0.057091
25601	0.984648	0.057948
25602	0.984726	0.059634
