#Run#	eBeam_diff	iBeam_diff	targ	type	Q2_difference	xbj_difference	HMSp_diff	HMSth_diff	SHMSp_diff	SHMSth_diff	Livetime_diff
24884	0.000000	2.682000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	-0.002080
24891	0.000000	2.977000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	0.000000
24895	0.000000	3.558000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	-0.000004
24900	0.000000	2.734000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	-0.001203
24905	0.000000	-0.398000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	-0.001004
24906	0.000000	3.884000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	0.000000
24911	0.000000	-0.003000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	0.000004
24922	0.000000	0.601000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	-0.000002
24925	0.000000	1.931000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	0.000005
24931	0.000000	2.600000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	-0.000494
24936	0.000000	0.355000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	0.000000
24967	0.000000	-0.045000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	0.000005
24978	0.000000	0.139000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	0.000003
24983	0.000000	-0.197000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	0.000001
24989	0.000000	-0.009000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	-0.000002
24996	0.000000	0.189000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	-0.000005
25021	0.000000	-0.461000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	-0.000005
25023	0.000000	0.170000	True	True	-0.001940	0.000089	0.000000	0.000000	0.000000	0.000000	0.000001
