runnum,gooddis,normyield	date	start_time	beam_energy	target	hms_p	hms_th	shms_p	shms_th	prescales	comments
25399,236034,32.9749	08/29	12:57	10.67	35	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,2,-1,-1
25400,216688,18.7267	08/29	13:02	10.67	45	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,2,-1,-1
25401,217701,18.6211	08/29	13:08	10.67	60	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,3,-1,-1
25402,249649,18.5022	08/29	13:15	10.67	60	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,3,-1,-1
25403,182972,18.7017	08/29	13:20	10.67	45	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,3,-1,-1
25404,193592,18.8087	08/29	13:25	10.67	35	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,2,-1,-1
25405,154398,33.2569	08/29	13:32	10.67	20	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,1,-1,-1
25406,278501,135.476	08/29	13:38	10.67	10	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,0,-1,-1
25407,308847,135.439	08/29	13:46	10.67	10	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,0,-1,-1
25408,143481,53.0906	08/29	13:53	10.67	20	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,1,-1,-1
25409,219525,32.8489	08/29	13:59	10.67	35	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,2,-1,-1
25410,198321,18.5828	08/29	14:06	10.67	45	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,3,-1,-1
25411,273790,18.2731	08/29	14:12	10.67	60	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,3,-1,-1
25412,275039,17.9392	08/29	14:18	10.67	60	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,3,-1,-1
25413,227699,18.5234	08/29	14:12	10.67	45	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,3,-1,-1
25414,289671,32.8697	08/29	14:24	10.67	35	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,2,-1,-1
25415,259996,53.1462	08/29	15:00	10.67	20	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,1,-1,-1
25416,214718,135.445	08/29	15:06	10.67	10	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,0,-1,-1
25417,247203,135.496	08/29	15:12	10.67	10	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,0,-1,-1
25418,224869,52.9595	08/29	15:19	10.67	10	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,0,-1,-1
25420,223609,32.6516	08/29	15:25	10.67	10	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,2,-1,-1
25421,218558,18.3259	08/29	15:32	10.67	10	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,3,-1,-1
25422,262551,17.5958	08/29	15:38	10.67	10	LH2	-3.642	16.75	+3.632	16.81	-1,-1,-1,3,-1,-1
25431,742485,33.3284	08/29	20:32	10.67	30	LH2	-3.642	16.75	-3.632	16.81	-1,-1,-1,2,-1,-1
25456,4359,0.163943	08/30	11:16	10.67	45	LH2	+3.642	16.75	-3.632	10.31	-1,-1,-1,2,-1,-1
25461,6445,0.183053	08/30	13:12	10.67	50	Copper	+3.642	16.75	-3.632	10.31	-1,-1,-1,3,-1,-1
25470,5413,0.492496	08/30	20:09	10.67	18	Copper	+3.642	16.75	+2.615	10.31	-1,-1,-1,1,-1,-1
25471,4524,0.358298	08/30	20:28	10.67	18	Carbon	+3.642	16.75	+2.615	10.31	-1,-1,-1,1,-1,-1
25473,3422,0.506369	08/30	21:13	10.67	10	LD2	+3.642	16.75	+2.615	10.31	-1,-1,-1,1,-1,-1
